p_zendar|禅 达 
p_town_1|伦 敦 
p_town_2|斯 德 哥 尔 摩 
p_town_3|巴 黎 
p_town_4|波 尔 多 
p_town_5|塞 维 利 亚 
p_town_6|那 不 勒 斯 
p_town_7|维 也 纳 
p_town_8|法 兰 克 福 
p_town_9|克 拉 科 夫 
p_town_10|莫 斯 科 
p_town_11|威 尼 斯 
p_town_12|罗 马 
p_town_13|阿 尔 及 尔 
p_town_14|的 黎 波 里 
p_town_15|库 兰 
p_town_16|西 安 府 
p_town_17|应 天 府 
p_town_18|顺 天 府 
p_town_19|君 士 坦 丁 堡 
p_town_20|开 罗 
p_town_21|耶 路 撒 冷 
p_town_22|巴 格 达 
p_town_23|京 都 
p_town_24|德 里 
p_town_25|卡 法 
p_town_26|阿 斯 塔 纳 
p_town_27|里 斯 本 
p_town_28|特 诺 奇 提 特 兰 
p_town_29|巴 塞 罗 那 
p_town_30|约 克 
p_town_31|马 赛 
p_town_32|奥 斯 陆 
p_town_33|维 尔 纽 斯 
p_town_34|吕 贝 克 
p_town_35|安 卡 拉 
p_town_36|阿 勒 颇 
p_town_37|斯 摩 林 斯 克 
p_town_38|喀 布 尔 
p_town_39|春 佩 
p_town_40|汉 城 
p_town_41|荆 州 府 
p_town_42|阿 克 苏 
p_town_43|爱 丁 堡 
p_castle_1|伯 明 翰 
p_castle_2|布 里 斯 托 尔 
p_castle_3|都 柏 林 
p_castle_4|林 雪 坪 
p_castle_5|哥 本 哈 根 
p_castle_6|弗 伦 斯 堡 
p_castle_7|哥 德 堡 
p_castle_8|鲁 昂 
p_castle_9|雷 恩 
p_castle_10|图 卢 兹 
p_castle_11|马 德 里 
p_castle_12|巴 伦 西 亚 
p_castle_13|希 洪 
p_castle_14|米 兰 
p_castle_15|巴 勒 莫 
p_castle_16|阿 姆 斯 特 丹 
p_castle_17|佛 罗 伦 萨 
p_castle_18|拉 古 萨 
p_castle_19|伊 拉 克 利 翁 
p_castle_20|尼 科 西 亚 
p_castle_21|伯 尔 尼 
p_castle_22|汉 堡 
p_castle_23|莱 比 锡 
p_castle_24|布 拉 格 
p_castle_25|萨 格 拉 布 
p_castle_26|华 沙 
p_castle_27|波 兹 南 
p_castle_28|基 辅 
p_castle_29|维 尔 杨 迪 
p_castle_30|勒 热 夫 
p_castle_31|萨 拉 托 夫 
p_castle_32|喀 山 
p_castle_33|佩 斯 
p_castle_34|雅 典 
p_castle_35|布 加 勒 斯 特 
p_castle_36|米 拉 斯 
p_castle_37|尼 西 亚 
p_castle_38|大 不 里 士 
p_castle_39|凯 瑟 里 
p_castle_40|大 马 士 革 
p_castle_41|特 拉 布 宗 
p_castle_42|塞 萨 洛 尼 基 
p_castle_43|德 黑 兰 
p_castle_44|梁 赞 
p_castle_45|阿 尔 什 巴 德 
p_castle_46|伊 斯 法 罕 
p_castle_47|克 尔 曼 
p_castle_48|呼 和 浩 特 
p_castle_49|温 都 尔 汗 
p_castle_50|科 布 多 
p_castle_51|哈 密 
p_castle_52|卡 干 布 各 达 
p_castle_53|成 都 府 
p_castle_54|济 南 府 
p_castle_55|泉 州 府 
p_castle_56|襄 阳 府 
p_castle_57|宁 夏 卫 
p_castle_58|太 原 府 
p_castle_59|安 积 
p_castle_60|佐 贺 
p_castle_61|备 中 
p_castle_62|非 斯 
p_castle_63|突 尼 斯 
p_castle_64|奥 兰 
p_castle_65|瓦 科 
p_castle_66|基 亚 哈 
p_castle_67|肯 塔 基 
p_castle_68|哈 瓦 那 
p_castle_69|波 尔 图 
p_castle_70|马 德 拉 
p_castle_71|叶 迪 库 什 勒 
p_castle_72|昌 迪 加 尔 
p_castle_73|斋 普 尔 
p_castle_74|坎 普 尔 
p_castle_75|曼 德 勒 
p_castle_76|前 江 
p_castle_77|河 内 
p_castle_78|光 州 
p_castle_79|平 壤 
p_castle_80|双 城 卫 
p_castle_81|撒 叉 河 卫 
p_castle_82|努 尔 干 都 司 
p_castle_83|卡 拉 甘 达 
p_castle_84|阿 特 劳 
p_castle_85|塞 万 斯 托 
p_castle_86|托 兰 
p_castle_87|特 瓦 坎 
p_castle_88|米 科 特 兰 
p_castle_89|坎 佩 克 
p_castle_90|蒂 卡 尔 
p_castle_91|韦 拉 克 鲁 斯 
p_castle_92|亚 速 尔 
p_castle_93|卡 里 利 亚 
p_castle_94|苏 特 
p_castle_95|第 戎 
p_castle_96|纽 伦 堡 
p_castle_97|罗 兹 
p_castle_98|闲 置 城 堡
p_castle_99|切 尔 卡 瑟 
p_castle_100|塔 尔 图 
p_castle_101|阿 伯 丁 
p_castle_102|罗 得 
p_castle_103|普 里 什 蒂 纳 
p_castle_104|班 西 亚 
