qstr_Next_Page|下 一 页 
qstr_Game_Rules:^|游 戏 规 则： ^
qstr_0|0
qstr_Show_game_rules|显 示 游 戏 规 则 
qstr_Continue...|继 续…… 
qstr_Candidate_#1:_{s1}|一 号 侯 选 者 ： {s1}
qstr_Candidate_#2:_{s1}|二 号 侯 选 者 ： {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}的 {s3}希 望 能 够 选 出 一 个 新 的 元 帅， 并 邀 请 了 他 的 封 臣 们 给 他 一 些 建 议。 {s1}和 {s2}应 该 是 候 选 人。 
qstr_Who_do_you_wish_to_s|你 想 要 支 持 谁？ 
qstr_{s1}_gives_his_suppo|{s1}支 持 {s2}。 
qstr_Number_of_Supporters|支 持 者 的 数 目 ： {reg0}
qstr_{s2}_has_heard_his_v|{s2}听 从 了 他 的 封 臣 们 的 建 议。 他 选 择 了 {s1}来 做 {s3}的 元 帅。 
qstr_Action|行 动 
qstr_Mount|上 马 
qstr_Attack_Type|武 器 选 择 
qstr_Stand_Ground|站 岗 
qstr_Charge|冲 锋 
qstr_Follow_Me|随 我 来 
qstr_Hold_This_Position|坚 守 此 地 
qstr_Spread_Out|散 开 
qstr_Stand_Closer|聚 拢 
qstr_Fall_Back|退 后 
qstr_Advance|前 进 
qstr_Dismount|下 马 
qstr_Fire_At_Will|任 意 射 击 
qstr_Hold_Your_Fire|停 止 射 击 
qstr_Use_Blunt_Weapons|使 用 钝 击 武 器 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Ready|准 备 
qstr_Wounded|受 伤 
qstr_Dead|死 亡 
qstr_Number_of_men_knocke|死 伤 人 数 ： {reg1}
qstr_Number_of_men_left:_|剩 余 人 数 ： {reg1}
qstr_Opponents_Beaten:_{r|击 倒 对 手 数 量 ： {reg1}
qstr_Opponents_Remaining:|剩 余 对 手 数 量 ： {reg1}
qstr_Remain_in_retirement|决 定 退 休。 
qstr_Go_back_to_the_adven|继 续 冒 险。 
