trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop 
trp_temp_troop_pl|Temp Troop 
trp_castle_1_seneschal|城 堡 管 家 
trp_castle_1_seneschal_pl|城 堡 管 家 
trp_castle_2_seneschal|城 堡 管 家 
trp_castle_2_seneschal_pl|城 堡 管 家 
trp_castle_3_seneschal|城 堡 管 家 
trp_castle_3_seneschal_pl|城 堡 管 家 
trp_castle_4_seneschal|城 堡 管 家 
trp_castle_4_seneschal_pl|城 堡 管 家 
trp_castle_5_seneschal|城 堡 管 家 
trp_castle_5_seneschal_pl|城 堡 管 家 
trp_castle_6_seneschal|城 堡 管 家 
trp_castle_6_seneschal_pl|城 堡 管 家 
trp_castle_7_seneschal|城 堡 管 家 
trp_castle_7_seneschal_pl|城 堡 管 家 
trp_castle_8_seneschal|城 堡 管 家 
trp_castle_8_seneschal_pl|城 堡 管 家 
trp_castle_9_seneschal|城 堡 管 家 
trp_castle_9_seneschal_pl|城 堡 管 家 
trp_castle_10_seneschal|城 堡 管 家 
trp_castle_10_seneschal_pl|城 堡 管 家 
trp_castle_11_seneschal|城 堡 管 家 
trp_castle_11_seneschal_pl|城 堡 管 家 
trp_castle_12_seneschal|城 堡 管 家 
trp_castle_12_seneschal_pl|城 堡 管 家 
trp_castle_13_seneschal|城 堡 管 家 
trp_castle_13_seneschal_pl|城 堡 管 家 
trp_castle_14_seneschal|城 堡 管 家 
trp_castle_14_seneschal_pl|城 堡 管 家 
trp_castle_15_seneschal|城 堡 管 家 
trp_castle_15_seneschal_pl|城 堡 管 家 
trp_castle_16_seneschal|城 堡 管 家 
trp_castle_16_seneschal_pl|城 堡 管 家 
trp_castle_17_seneschal|城 堡 管 家 
trp_castle_17_seneschal_pl|城 堡 管 家 
trp_castle_18_seneschal|城 堡 管 家 
trp_castle_18_seneschal_pl|城 堡 管 家 
trp_castle_19_seneschal|城 堡 管 家 
trp_castle_19_seneschal_pl|城 堡 管 家 
trp_castle_20_seneschal|城 堡 管 家 
trp_castle_20_seneschal_pl|城 堡 管 家 
trp_castle_21_seneschal|城 堡 管 家 
trp_castle_21_seneschal_pl|城 堡 管 家 
trp_castle_22_seneschal|城 堡 管 家 
trp_castle_22_seneschal_pl|城 堡 管 家 
trp_castle_23_seneschal|城 堡 管 家 
trp_castle_23_seneschal_pl|城 堡 管 家 
trp_castle_24_seneschal|城 堡 管 家 
trp_castle_24_seneschal_pl|城 堡 管 家 
trp_castle_25_seneschal|城 堡 管 家 
trp_castle_25_seneschal_pl|城 堡 管 家 
trp_castle_26_seneschal|城 堡 管 家 
trp_castle_26_seneschal_pl|城 堡 管 家 
trp_castle_27_seneschal|城 堡 管 家 
trp_castle_27_seneschal_pl|城 堡 管 家 
trp_castle_28_seneschal|城 堡 管 家 
trp_castle_28_seneschal_pl|城 堡 管 家 
trp_castle_29_seneschal|城 堡 管 家 
trp_castle_29_seneschal_pl|城 堡 管 家 
trp_castle_30_seneschal|城 堡 管 家 
trp_castle_30_seneschal_pl|城 堡 管 家 
trp_castle_31_seneschal|城 堡 管 家 
trp_castle_31_seneschal_pl|城 堡 管 家 
trp_castle_32_seneschal|城 堡 管 家 
trp_castle_32_seneschal_pl|城 堡 管 家 
trp_castle_33_seneschal|城 堡 管 家 
trp_castle_33_seneschal_pl|城 堡 管 家 
trp_castle_34_seneschal|城 堡 管 家 
trp_castle_34_seneschal_pl|城 堡 管 家 
trp_castle_35_seneschal|城 堡 管 家 
trp_castle_35_seneschal_pl|城 堡 管 家 
trp_castle_36_seneschal|城 堡 管 家 
trp_castle_36_seneschal_pl|城 堡 管 家 
trp_castle_37_seneschal|城 堡 管 家 
trp_castle_37_seneschal_pl|城 堡 管 家 
trp_castle_38_seneschal|城 堡 管 家 
trp_castle_38_seneschal_pl|城 堡 管 家 
trp_castle_39_seneschal|城 堡 管 家 
trp_castle_39_seneschal_pl|城 堡 管 家 
trp_castle_40_seneschal|城 堡 管 家 
trp_castle_40_seneschal_pl|城 堡 管 家 
trp_castle_41_seneschal|城 堡 管 家 
trp_castle_41_seneschal_pl|城 堡 管 家 
trp_castle_42_seneschal|城 堡 管 家 
trp_castle_42_seneschal_pl|城 堡 管 家 
trp_castle_43_seneschal|城 堡 管 家 
trp_castle_43_seneschal_pl|城 堡 管 家 
trp_castle_44_seneschal|城 堡 管 家 
trp_castle_44_seneschal_pl|城 堡 管 家 
trp_castle_45_seneschal|城 堡 管 家 
trp_castle_45_seneschal_pl|城 堡 管 家 
trp_castle_46_seneschal|城 堡 管 家 
trp_castle_46_seneschal_pl|城 堡 管 家 
trp_castle_47_seneschal|城 堡 管 家 
trp_castle_47_seneschal_pl|城 堡 管 家 
trp_castle_48_seneschal|城 堡 管 家 
trp_castle_48_seneschal_pl|城 堡 管 家 
trp_castle_49_seneschal|城 堡 管 家 
trp_castle_49_seneschal_pl|城 堡 管 家 
trp_castle_50_seneschal|城 堡 管 家 
trp_castle_50_seneschal_pl|城 堡 管 家 
trp_castle_51_seneschal|城 堡 管 家 
trp_castle_51_seneschal_pl|城 堡 管 家 
trp_castle_52_seneschal|城 堡 管 家 
trp_castle_52_seneschal_pl|城 堡 管 家 
trp_castle_53_seneschal|城 堡 管 家 
trp_castle_53_seneschal_pl|城 堡 管 家 
trp_castle_54_seneschal|城 堡 管 家 
